inst#,actual,predicted,error,prediction
1,4:rock,4:rock,,0.646
2,4:rock,4:rock,,0.992
3,3:pop,3:pop,,1
4,3:pop,1:metal,+,0.85
5,2:mexicano,3:pop,+,0.947
6,1:metal,4:rock,+,0.653
7,1:metal,4:rock,+,0.559
1,4:rock,1:metal,+,0.769
2,4:rock,4:rock,,0.98
3,3:pop,3:pop,,0.999
4,3:pop,3:pop,,0.998
5,2:mexicano,2:mexicano,,1
6,1:metal,1:metal,,0.996
7,1:metal,4:rock,+,0.941
1,4:rock,1:metal,+,0.982
2,4:rock,4:rock,,0.992
3,3:pop,4:rock,+,0.741
4,3:pop,3:pop,,0.999
5,2:mexicano,2:mexicano,,1
6,1:metal,1:metal,,0.812
7,1:metal,1:metal,,0.981
1,4:rock,4:rock,,0.673
2,4:rock,4:rock,,0.72
3,3:pop,3:pop,,0.768
4,3:pop,3:pop,,0.972
5,2:mexicano,2:mexicano,,0.977
6,1:metal,1:metal,,0.984
7,1:metal,4:rock,+,0.998
1,4:rock,4:rock,,0.96
2,4:rock,4:rock,,0.979
3,3:pop,3:pop,,0.999
4,3:pop,3:pop,,0.973
5,2:mexicano,2:mexicano,,1
6,1:metal,1:metal,,0.991
7,1:metal,4:rock,+,0.937
1,4:rock,4:rock,,0.908
2,4:rock,1:metal,+,0.849
3,3:pop,3:pop,,1
4,3:pop,3:pop,,1
5,2:mexicano,2:mexicano,,0.817
6,1:metal,1:metal,,0.972
7,1:metal,4:rock,+,0.89
1,4:rock,4:rock,,0.75
2,4:rock,3:pop,+,0.997
3,3:pop,3:pop,,0.999
4,2:mexicano,2:mexicano,,0.999
5,2:mexicano,2:mexicano,,0.995
6,1:metal,1:metal,,0.63
7,1:metal,1:metal,,0.981
1,4:rock,1:metal,+,0.932
2,4:rock,4:rock,,0.87
3,3:pop,3:pop,,0.975
4,2:mexicano,2:mexicano,,1
5,2:mexicano,2:mexicano,,1
6,1:metal,2:mexicano,+,0.65
7,1:metal,1:metal,,1
1,4:rock,1:metal,+,0.9
2,4:rock,3:pop,+,0.96
3,3:pop,3:pop,,0.82
4,2:mexicano,2:mexicano,,0.92
5,2:mexicano,2:mexicano,,0.986
6,1:metal,4:rock,+,0.583
7,1:metal,1:metal,,0.75
1,4:rock,4:rock,,0.814
2,4:rock,4:rock,,0.659
3,3:pop,3:pop,,0.999
4,2:mexicano,2:mexicano,,0.942
5,2:mexicano,4:rock,+,0.889
6,1:metal,1:metal,,0.895
7,1:metal,2:mexicano,+,0.634
1,4:rock,2:mexicano,+,0.837
2,4:rock,2:mexicano,+,0.923
3,3:pop,3:pop,,0.768
4,2:mexicano,2:mexicano,,0.99
5,2:mexicano,2:mexicano,,0.889
6,1:metal,4:rock,+,0.78
7,1:metal,4:rock,+,0.966
1,4:rock,3:pop,+,0.825
2,4:rock,3:pop,+,0.684
3,3:pop,3:pop,,0.901
4,2:mexicano,2:mexicano,,0.878
5,2:mexicano,2:mexicano,,1
6,1:metal,4:rock,+,0.895
1,4:rock,1:metal,+,0.97
2,4:rock,4:rock,,0.772
3,3:pop,3:pop,,0.999
4,2:mexicano,2:mexicano,,1
5,2:mexicano,2:mexicano,,0.999
6,1:metal,4:rock,+,0.625
1,4:rock,3:pop,+,0.54
2,4:rock,4:rock,,0.985
3,3:pop,3:pop,,0.904
4,2:mexicano,2:mexicano,,0.815
5,2:mexicano,2:mexicano,,0.946
6,1:metal,1:metal,,0.745
1,4:rock,1:metal,+,0.95
2,4:rock,1:metal,+,0.95
3,3:pop,3:pop,,0.996
4,2:mexicano,2:mexicano,,0.603
5,2:mexicano,4:rock,+,0.728
6,1:metal,1:metal,,0.977
1,4:rock,2:mexicano,+,0.988
2,3:pop,3:pop,,0.926
3,3:pop,3:pop,,0.915
4,2:mexicano,2:mexicano,,1
5,2:mexicano,2:mexicano,,0.98
6,1:metal,1:metal,,0.917
1,4:rock,4:rock,,0.397
2,3:pop,3:pop,,0.989
3,3:pop,3:pop,,0.998
4,2:mexicano,2:mexicano,,0.58
5,2:mexicano,2:mexicano,,0.981
6,1:metal,1:metal,,0.997
1,4:rock,4:rock,,0.992
2,3:pop,3:pop,,0.505
3,3:pop,3:pop,,0.998
4,2:mexicano,2:mexicano,,0.949
5,2:mexicano,2:mexicano,,0.996
6,1:metal,1:metal,,0.648
1,4:rock,1:metal,+,0.953
2,3:pop,3:pop,,0.853
3,3:pop,3:pop,,0.844
4,2:mexicano,2:mexicano,,0.978
5,2:mexicano,2:mexicano,,0.982
6,1:metal,1:metal,,0.999
1,4:rock,1:metal,+,0.975
2,3:pop,3:pop,,0.848
3,3:pop,3:pop,,0.643
4,2:mexicano,2:mexicano,,0.993
5,2:mexicano,2:mexicano,,0.916
6,1:metal,1:metal,,0.863
1,4:rock,3:pop,+,0.993
2,3:pop,3:pop,,0.996
3,3:pop,3:pop,,0.964
4,2:mexicano,2:mexicano,,0.999
5,2:mexicano,2:mexicano,,0.759
6,1:metal,1:metal,,0.977
1,4:rock,4:rock,,0.923
2,3:pop,2:mexicano,+,0.999
